Código,Provincia,Municipio,Localidad,Tipo,Institución,Dirección,Teléfono,Horario,Más info,Correo Electrónico,Web,Latitud,Longitud
2,Buenos Aires,25 de Mayo,25 DE MAYO,Áreas de Género y Diversidad,Dirección de Género y Diversidad,"Calle 25 N1043, entre Calle 11 y Calle 12",(02345) 15405768,Lunes a Viernes de 9 a 16 Hs.,Acompañar (UDA) / Asistencia Interdisciplinaria,generoydiversidad25demayo@gmail.com,,-35.4346379123664,-60.1744299201699
6,Buenos Aires,25 de Mayo,25 DE MAYO,"Familia, Niñez y Adolescencia","Servicio Local de Promoción y Protección de Derechos de Niños, Niñas y Adolescentes","Calle 13 s/n, esquina 27",(02345) 15498073,Lunes a Viernes de 8 a 14 Hs.,Asistencia Interdisciplinaria,serviciolocal25@hotmail.com,,-35.432464,-60.175752
5,Buenos Aires,25 de Mayo,25 DE MAYO,Legal,Juzgado de Paz,"Calle 9 N1217, entre Calle 31 y Calle 32",(02345) 462780 / 466706,Lunes a Viernes de 8 a 14 Hs.,Medidas Preventivas,,,-35.4289011364159,-60.1704017037913
1,Buenos Aires,25 de Mayo,25 DE MAYO,Salud,Centro Provincial de Atención en Adicciones,"San Martín 1043, entre Calle 11 y Calle 12",(02345) 463098,Lunes a Viernes de 8 a 14 Hs.,Asistencia Interdisciplinaria,,,-35.432964,-60.17142
7,Buenos Aires,25 de Mayo,25 DE MAYO,Salud,Hospital Subzonal Saturnino E. Unzué,"Calle 37 s/n, entre Calle 1 y Calle 101",(02345) 462267 / 464849,24 Hs.,Asistencia Interdisciplinaria,htalunzue@gmail.com,,-35.424529868855,-60.1589991561638
4,Buenos Aires,25 de Mayo,25 DE MAYO,Seguridad,Comisaría de las Mujeres y la Familia,"Calle 30 s/n, entre Calle 5 y Calle 6",(02345) 504008,24 Hs.,Denuncias / Asistencia Interdisciplinaria,cria.mujer.25demayo@hotmail.com,,-35.430459,-60.166312
3,Buenos Aires,25 de Mayo,25 DE MAYO,Seguridad,Comisaría N1,"Calle 9 s/n, entre Calle 26 y Calle 27",(02345) 462112,24 Hs.,Móvil / Derivación,,,-35.4341854317475,-60.1687080414158
9,Buenos Aires,25 de Mayo,NORBERTO DE LA RIESTRA,Salud,Hospital Local San Roque,Güemes 1235,(02343) 440909,24 Hs.,Asistencia Interdisciplinaria,,,-35.2680503871291,-59.7788230207385
8,Buenos Aires,25 de Mayo,NORBERTO DE LA RIESTRA,Seguridad,Comisaría N2,"Güemes s/n, esquina León Varas",(02343) 440113,24 Hs.,Denuncias,,,-35.2692218040354,-59.7736914175578
10,Buenos Aires,9 de Julio,9 DE JULIO,Áreas de Género y Diversidad,Dirección General de Políticas de Género y Diversidad Sexual,"Cavalari s/n, esquina Balcarce",(02317) 610071 / 6100770 / 6100773 (Interno: 115),Lunes a Viernes de 8 a 14 Hs.,Asistencia Interdisciplinaria,,,-35.4413478436348,-60.8724676782726
16,Buenos Aires,9 de Julio,9 DE JULIO,"Familia, Niñez y Adolescencia","Servicio Local de Promoción y Protección de Derechos de Niños, Niñas y Adolescentes","Urquiza 1100, esquina Vedia",(02317) 428043 / 428478,Lunes a Viernes de 8 a 14 Hs.,Asistencia Interdisciplinaria,,,-35.435953,-60.876962
14,Buenos Aires,9 de Julio,9 DE JULIO,Legal,Asociación de Abogades,"Hipólito Yrigoyen 860, Local 1",(02317) 524207,Lunes a Viernes de 8 a 14 Hs.,Asesoramiento Jurídico,,,-35.4444099,-60.8827737999999
15,Buenos Aires,9 de Julio,9 DE JULIO,Legal,Juzgado de Paz,Hipólito Yrigoyen 854,(02317) 422346,Lunes a Viernes de 8 a 14 Hs.,Medidas Preventivas,,,-35.457642,-60.887272
11,Buenos Aires,9 de Julio,9 DE JULIO,Otra,"Centro de Referencia, CDR",Robbio 380,(02317) 422387,Lunes y Miércoles de 8 a 12 Hs. / Martes de 16:30 a 19:30 Hs.,Oficina del Ministerio de Desarrollo Social de la Nación,,,-35.4510239244976,-60.8819701175522
18,Buenos Aires,9 de Julio,9 DE JULIO,Otra,Delegación Ministerio de Trabajo Provincia de Buenos Aires,Vedia 681,(02317) 422456,Lunes a Viernes de 8 a 14 Hs.,Asesoramiento en Violencia Laboral,,,-35.4460622,-60.8828014
17,Buenos Aires,9 de Julio,9 DE JULIO,Salud,Hospital Zonal General de Agudos Julio de Vedia,Tomás Cosentino 1223,(02317) 422196 / 430025,24 Hs.,Asistencia Interdisciplinaria,"serviciosocialjuliodevedia@gmail.com, direccion-vedia@ms.gba.gov.ar",,-35.437907,-60.880949
12,Buenos Aires,9 de Julio,9 DE JULIO,Seguridad,Comisaría,Robbio 945,(02317) 422010,24 Hs.,Móvil / Derivación,estacioncomunal@9dejuliomseg.gba.gov.ar,,-35.445002,-60.886571
13,Buenos Aires,9 de Julio,9 DE JULIO,Seguridad,Comisaría de las Mujeres,"Tucumán 702, esquina Edison",(02317) 610062,24 Hs.,Denuncias / Asistencia Interdisciplinaria,,,-35.4452093,-60.8767364
19,Buenos Aires,9 de Julio,ALFREDO DEMARCHI,Salud,Hospital Municipal Manuel Federico Arce,28 de Marzo 290,(02317) 491014,24 Hs.,Asistencia Interdisciplinaria,,,-35.290959,-61.401403
21,Buenos Aires,9 de Julio,DUDIGNAC,Salud,Hospital Municipal Enriqueta Dudignac,Doctor Samprieto 1044,(02317) 492018,24 Hs.,Asistencia Interdisciplinaria,,,-35.6487122,-60.7055702
20,Buenos Aires,9 de Julio,DUDIGNAC,Seguridad,Subcomisaría,9 de Julio 634,(02317) 492013,24 Hs.,Denuncias,,,-35.6506503545508,-60.7068426883378
6399,Buenos Aires,Adolfo Alsina,CARHUE,Áreas de Género y Diversidad,"Inclusión, Género y Diversidad",Carlos Pellegrini y Rivadavia,(02936) 430575 / (02923) 15444536,Lunes a Viernes de 7 a 13 Hs.,Asistencia Interdisciplinaria,inlcusiongeneroydiversidadaa@gmail.com,,-37.18032,-62.76097
27,Buenos Aires,Adolfo Alsina,CARHUE,"Familia, Niñez y Adolescencia","Servicio Local de Promoción y Protección de Derechos de Niños, Niñas y Adolescentes",Alberdi 806,(02936) 15404404 / (02936) 410017,Lunes a Viernes de 8 a 13 Hs.,Asistencia Interdisciplinaria,slppdnadolfoalsina@hotmail.com,,-37.184745,-62.762514
25,Buenos Aires,Adolfo Alsina,CARHUE,Legal,Ayudantía Fiscal,"25 de Mayo 1060, entre Pellegrini y Sáenz Peña",(02936) 430270,Lunes a Viernes de 9 a 14:30 Hs.,Denuncias,,https://www.mpba.gov.ar/denuncia,-37.1807319759793,-62.758412361145
26,Buenos Aires,Adolfo Alsina,CARHUE,Legal,Juzgado de Paz,Rivadavia 840,(02936) 432242 / 430898,Lunes a Viernes de 8 a 14 Hs.,Medidas Preventivas,,,-37.1797745916924,-62.7590560913085
22,Buenos Aires,Adolfo Alsina,CARHUE,Otra,Área de Acción Social,Carlos Pellegrini y Rivadavia,(02936) 430575,Lunes a Viernes de 8 a 17 Hs.,Servicio Social,,,-37.1806977838923,-62.7605581283569
28,Buenos Aires,Adolfo Alsina,CARHUE,Salud,Hospital Local General San Martín,Avellaneda 579,(02936) 432222,24 Hs.,Asistencia Interdisciplinaria,hospcarhue@invertel.com.ar,https://regionsanitaria1.com/adolfo-alsina.html,-37.1808318182874,-62.7532196044921
24,Buenos Aires,Adolfo Alsina,CARHUE,Seguridad,Comisaría de las Mujeres,"General Savio 966, entre San Martín y Rivadavia",(02936) 430999,24 Hs.,Denuncias / Asistencia Interdisciplinaria,comisariadelamujercarhue2023@gmail.com,,-37.1728879,-62.7529913
23,Buenos Aires,Adolfo Alsina,CARHUE,Seguridad,Estación de Policía de Seguridad Comunal Adolfo Alsina,Pellegrini 1151,(02936) 432211,24 Hs.,Móvil / Derivación,,,-37.178066,-62.754822
30,Buenos Aires,Adolfo Alsina,MAZA,Salud,Hospital Municipal Dr. Demetrio Carmelo,25 de Mayo 476,(02935) 498094,24 Hs.,Asistencia Interdisciplinaria,,https://regionsanitaria1.com/adolfo-alsina.html,-36.8004027,-63.3445817
29,Buenos Aires,Adolfo Alsina,RIVERA,Salud,Hospital Municipal Dr. Noé Yarcho,"Hertzen s/n, esquina Noé Yarcho",(02935) 432014 / 432269,24 Hs.,Asistencia Interdisciplinaria,,https://regionsanitaria1.com/adolfo-alsina.html,-37.1583985139821,-63.2431411743164
35,Buenos Aires,Adolfo Gonzales Chaves,ADOLFO GONZALES CHAVES,"Familia, Niñez y Adolescencia","Servicio Local de Promoción y Protección de Derechos de Niños, Niñas y Adolescentes",Ana Elicagaray 485,(02983) 15570533,Lunes a Viernes de 7:30 a 14 Hs.,Asistencia Interdisciplinaria,serviciolocalchaves@hotmail.com,,-38.032551,-60.098329
34,Buenos Aires,Adolfo Gonzales Chaves,ADOLFO GONZALES CHAVES,Legal,Juzgado de Paz,Carlos Pellegrini 203,(02983) 481536,Lunes a Viernes de 8 a 14 Hs.,Medidas Preventivas,,,-38.0367987,-60.098419
31,Buenos Aires,Adolfo Gonzales Chaves,ADOLFO GONZALES CHAVES,Otra,Área de Acción Social,Sáenz Peña 350,(02983) 481311 / (02983) 15578187,Lunes a Viernes de 7:30 a 13:30 Hs.,Asesoramiento / Derivación,,,-38.0389953,-60.0974741
