fecha,mujer,p10,p25,w_mean,w_median,p75,p90,p99
2013-01-01,0,2233,3963,8574,6250,9853,15890,46017
2013-01-01,1,2020,3477,6902,5589,8231,12413,30692
2013-02-01,0,2229,3921,8209,6128,9539,15250,39724
2013-02-01,1,1986,3456,6720,5571,8120,12196,27834
2013-03-01,0,2310,4062,8705,6247,9809,15685,46317
2013-03-01,1,2058,3626,7188,5822,8571,12986,30617
2013-04-01,0,2410,4197,8683,6416,10155,15980,42063
2013-04-01,1,2148,3756,7209,5912,8754,13091,29384
2013-05-01,0,2538,4404,9045,6898,10521,16377,43827
2013-05-01,1,2225,3887,7468,6107,8914,13450,32095
2013-06-01,0,3366,6105,12876,9951,15393,24214,61366
2013-06-01,1,2903,5297,10604,8759,12960,19426,45847
2013-07-01,0,2698,4620,9394,7168,11099,17413,43555
2013-07-01,1,2308,4012,7690,6389,9338,13990,31516
2013-08-01,0,2713,4658,9391,7229,11094,17170,43912
2013-08-01,1,2305,4024,7802,6492,9397,14136,33143
2013-09-01,0,2716,4666,9536,7250,11202,17522,45004
2013-09-01,1,2367,4126,7961,6612,9661,14480,33188
2013-10-01,0,2789,4838,9762,7422,11520,17946,45374
2013-10-01,1,2421,4166,8043,6663,9766,14629,33131
2013-11-01,0,2821,4922,9895,7595,11661,18212,46004
2013-11-01,1,2438,4230,8180,6780,9888,14886,33741
2013-12-01,0,3748,6901,14545,11218,17381,27186,68928
2013-12-01,1,3190,5868,11810,9787,14520,21537,50324
2014-01-01,0,2851,5032,10993,8010,12728,20352,57768
2014-01-01,1,2603,4396,8802,7101,10526,15710,38929
2014-02-01,0,2858,5000,10586,7969,12391,19453,51206
2014-02-01,1,2595,4465,8729,7223,10618,15681,36314
2014-03-01,0,2983,5194,11283,8200,12937,20420,57829
2014-03-01,1,2675,4677,9253,7540,11102,16564,39461
2014-04-01,0,3168,5607,11657,8944,13542,21130,57263
2014-04-01,1,2788,5019,9731,7965,11759,17352,42458
2014-05-01,0,3245,5733,11766,9117,13815,21255,56332
2014-05-01,1,2870,5107,9703,8079,11836,17271,39677
2014-06-01,0,4255,7922,16973,13292,20461,31627,80739
2014-06-01,1,3750,6971,13936,11557,17237,25431,58865
2014-07-01,0,3466,6101,12538,9947,14854,22925,57844
2014-07-01,1,3051,5514,10350,8613,12579,18440,42741
2014-08-01,0,3500,6121,12588,9632,15000,23228,58842
2014-08-01,1,3120,5454,10470,8720,12837,18916,42426
2014-09-01,0,3508,6209,13062,10000,15348,24100,62190
2014-09-01,1,3129,5530,10700,8863,13070,19452,42949
2014-10-01,0,3604,6424,13280,10167,15680,24281,62585
2014-10-01,1,3176,5608,10857,9046,13254,19526,44770
2014-11-01,0,3660,6467,13329,10532,15777,24554,61286
2014-11-01,1,3267,5943,11068,9194,13490,19842,45047
2014-12-01,0,4923,9331,19767,15217,23556,37110,94735
2014-12-01,1,4244,7837,15838,13134,19522,28848,68150
2015-01-01,0,3624,6578,14607,10597,16648,27624,78466
