"indice_tiempo","poburb_18a65_tasadesempleo_arg","poburb_18a65_tasadesempleo_2","poburb_18a65_tasadesempleo_6","poburb_18a65_tasadesempleo_10","poburb_18a65_tasadesempleo_14","poburb_18a65_tasadesempleo_18","poburb_18a65_tasadesempleo_22","poburb_18a65_tasadesempleo_26","poburb_18a65_tasadesempleo_30","poburb_18a65_tasadesempleo_34","poburb_18a65_tasadesempleo_38","poburb_18a65_tasadesempleo_42","poburb_18a65_tasadesempleo_46","poburb_18a65_tasadesempleo_50","poburb_18a65_tasadesempleo_54","poburb_18a65_tasadesempleo_58","poburb_18a65_tasadesempleo_62","poburb_18a65_tasadesempleo_66","poburb_18a65_tasadesempleo_70","poburb_18a65_tasadesempleo_74","poburb_18a65_tasadesempleo_78","poburb_18a65_tasadesempleo_82","poburb_18a65_tasadesempleo_86","poburb_18a65_tasadesempleo_90","poburb_18a65_tasadesempleo_94"
2019-10-01,0.09,0.075,0.107,0.076,0.095,0.054,0.072,0.065,0.061,0.04,0.064,0.086,0.051,0.076,0.03,0.057,0.044,0.103,0.036,0.03,0.063,0.075,0.052,0.098,0.097
2020-01-01,0.106,0.091,0.121,0.088,0.107,0.037,0.101,0.074,0.08,0.039,0.079,0.098,0.027,0.1,0.025,0.066,0.028,0.107,0.034,0.029,0.057,0.113,0.067,0.131,0.124
2020-04-01,0.133,0.115,0.142,0.09,0.188,0.083,0.061,0.054,0.108,0.057,0.072,0.066,0.051,0.157,0.088,0.136,0.024,0.14,0.067,0.027,0.047,0.184,0.019,0.107,0.22
2020-07-01,0.117,0.107,0.138,0.069,0.141,0.077,0.091,0.044,0.097,0.035,0.052,0.107,0.08,0.084,0.075,0.11,0.034,0.113,0.068,0.026,0.031,0.11,0.04,0.108,0
2020-10-01,0.112,0.075,0.137,0.06,0.13,0.069,0.054,0.041,0.056,0.043,0.04,0.116,0.044,0.107,0.064,0.086,0.058,0.09,0.054,0.05,0.069,0.121,0.039,0.095,0.129
2021-01-01,0.103,0.083,0.113,0.07,0.143,0.098,0.048,0.051,0.054,0.041,0.072,0.098,0.059,0.083,0.051,0.109,0.038,0.106,0.043,0.036,0.09,0.105,0.042,0.146,0.12
2021-04-01,0.098,0.093,0.106,0.061,0.122,0.06,0.076,0.058,0.06,0.05,0.067,0.135,0.027,0.087,0.053,0.081,0.04,0.103,0.05,0.025,0.086,0.112,0.047,0.126,0.1
2021-07-01,0.083,0.069,0.094,0.049,0.108,0.023,0.051,0.054,0.064,0.053,0.047,0.103,0.036,0.086,0.055,0.068,0.016,0.072,0.052,0.048,0.058,0.081,0.015,0.095,0.048
2021-10-01,0.07,0.047,0.08,0.065,0.096,0.021,0.083,0.038,0.06,0.03,0.042,0.07,0.044,0.07,0.04,0.06,0.014,0.063,0.054,0.041,0.038,0.068,0.02,0.084,0.054
2022-01-01,0.07,0.049,0.077,0.032,0.09,0.042,0.073,0.027,0.052,0.044,0.052,0.071,0.052,0.065,0.042,0.074,0.01,0.071,0.042,0.035,0.063,0.079,0.036,0.095,0.047
2022-04-01,0.069,0.058,0.082,0.042,0.087,0.049,0.054,0.037,0.049,0.028,0.057,0.075,0.037,0.057,0.027,0.08,0.009,0.071,0.031,0.034,0.031,0.05,0.012,0.074,0.044
